"id","name","ispartof","location","homepage","timeline.owl#start","timeline.owl#end","abstractregistrationdate","notificationduedate","submissiondeadlinedate","finalversionduedate","created"
"2914684672","ATS 1960","2708360643","http://dbpedia.org/resource/Los_Angeles",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2019-02-21"
"2996912668","SIGMOD 2020","1175089206","http://dbpedia.org/resource/Portland,_Oregon","https://sigmod2020.org/","2020-06-14","2020-06-19",NULL,"2020-01-30","2019-11-25","2020-03-25","2020-01-10"
"3022146200","LISA 2021","1161835747","http://dbpedia.org/resource/Anaheim,_California","https://www.usenix.org/conference/lisa21","2021-06-01","2021-06-03",NULL,NULL,NULL,NULL,"2020-05-13"
"25316278","BIS 2009","1148878455","http://dbpedia.org/resource/Poznań","http://bis.kie.ae.poznan.pl/12th_bis/?i=1","2009-04-27","2009-04-29",NULL,"2009-01-12","2008-12-07","2009-01-26","2016-06-24"
"32660607","FOMC 2013","2759366313","http://dbpedia.org/resource/Jerusalem","http://www.csc.uvic.ca/conferences/fomc2013/","2013-10-17","2013-10-18",NULL,NULL,"2013-07-21",NULL,"2016-06-24"
"55783173","IJCNN 2011","1140449422","http://dbpedia.org/resource/San_Jose,_California","http://www.ijcnn2011.org/","2011-07-31","2011-08-05",NULL,"2011-04-10","2011-02-10","2011-05-05","2016-06-24"
"66064569","CP 2010","1201491352","http://dbpedia.org/resource/St_Andrews","http://cp2010.cs.st-andrews.ac.uk/","2010-09-06","2010-09-10",NULL,NULL,"2010-04-13",NULL,"2016-06-24"
"72272047","ICIS 2011","1140216390","http://dbpedia.org/resource/Shanghai","http://icis2011.aisnet.org/","2011-12-04","2011-12-07",NULL,"2011-07-30","2011-05-03","2011-09-08","2016-06-24"
"82892403","MDM 2008","1134031032","http://dbpedia.org/resource/Beijing","http://idke.ruc.edu.cn/mdm2008/","2008-05-26","2008-05-30",NULL,NULL,"2007-11-09",NULL,"2016-06-24"
"94053146","ICPP 2010","1155899826","http://dbpedia.org/resource/San_Diego","http://www.cse.ohio-state.edu/~lai/icpp2010","2010-09-13","2010-09-16",NULL,"2010-05-25","2010-02-24","2010-06-28","2016-06-24"
"105571953","ICDT 2010","1165285842","http://dbpedia.org/resource/Lausanne","http://lbd.epfl.ch/EDBTICDT/","2010-03-22","2010-03-25","2009-08-31","2009-10-01","2009-09-06","2010-01-17","2016-06-24"
